"","variant_group","week","weeks_since","share","total_shares_by_week","rescaled_share"
"240","KP/LB",2024-07-06,131,0.720281474292279,0.770649726793636,0.934641834350712
"241","KP/LB",2024-07-20,133,0.722926653921605,0.768890990410001,0.940219956974803
"242","KP/LB",2024-08-03,135,0.761075593531131,0.798161047569011,0.953536376961977
"243","KP/LB",2024-08-17,137,0.775140304118395,0.808578271884471,0.958645972902357
"244","KP/LB",2024-08-31,139,0.787463791668415,0.80778321577236,0.974845448992751
"245","KP/LB",2024-09-14,141,0.811627179384232,0.821236741729082,0.988298669729976
"246","KP/LB",2024-09-28,143,0.788456927984953,0.814306675456465,0.968255513247485
"247","KP/LB",2024-10-12,145,0.762226928025485,0.767659741271275,0.99292288893932
"248","KP/LB",2024-10-26,147,0.686774790287017,0.689540423596369,0.995989164355401
"249","XBB",2022-02-05,5,3.5614852095e-05,0.997074055005213,3.57193649922159e-05
"250","XBB",2022-02-19,7,3.008989006e-05,0.999187271470871,3.01143648634611e-05
"251","XBB",2022-03-19,11,0.000162574666319,0.99934187970939,0.000162681730466732
"252","XBB",2022-04-16,15,0.00011945181177,0.995049234865292,0.000120046131974737
"253","XBB",2022-05-14,19,0.000239218774368,0.993582276227243,0.000240763930770126
"254","XBB",2022-05-28,21,9.035889525e-05,0.993705328408396,9.09312777810365e-05
"255","XBB",2022-11-12,45,0.000283645189483,0.794265067845116,0.000357116535733524
"256","XBB",2022-11-26,47,0.000332839670591,0.786939613055438,0.000422954525441525
"257","XBB",2022-12-10,49,0.00560598494485,0.806175656267441,0.00695380082649168
"258","XBB",2022-12-24,51,0.024268226698041,0.823216127253545,0.029479775595512
"259","XBB",2023-01-07,53,0.074017844584887,0.842143650414072,0.0878921838910657
"260","XBB",2023-01-21,55,0.213256062255823,0.848853198272991,0.251228437013251
"261","XBB",2023-02-04,57,0.395550240471493,0.860423441248713,0.4597157881908
"262","XBB",2023-02-18,59,0.566018457408063,0.878088986093644,0.644602615876223
"263","XBB",2023-03-04,61,0.635678089747671,0.857144166642683,0.741623305024096
"264","XBB",2023-03-18,63,0.722547228448093,0.865455509978347,0.834875068813382
"265","XBB",2023-04-01,65,0.788155828136951,0.871842639928218,0.904011563602628
"266","XBB",2023-04-15,67,0.826811358332634,0.868225266807714,0.95230050303955
"267","XBB",2023-04-29,69,0.835659129545093,0.862981262675021,0.968339830409253
"268","XBB",2023-05-13,71,0.814792068675161,0.829652060259833,0.982088887261947
"269","XBB",2023-05-27,73,0.764424748718738,0.781296751752961,0.978405128401765
"270","XBB",2023-06-10,75,0.684755317866802,0.726520156429615,0.942513861187196
"271","XBB",2023-06-24,77,0.645177379250526,0.687621019780635,0.938274661028179
"272","XBB",2023-07-08,79,0.588558278977871,0.655021692160518,0.898532500559753
"273","XBB",2023-07-22,81,0.524386711418629,0.640166806580966,0.819140739613319
"274","XBB",2023-08-05,83,0.409428760409356,0.604351841291647,0.677467548596041
"275","XBB",2023-08-19,85,0.343850411474705,0.573112237703754,0.59997045753618
"276","XBB",2023-09-02,87,0.275933358818292,0.562223020766396,0.490789862076712
"277","XBB",2023-09-16,89,0.19966445863247,0.532886361295823,0.374684873050503
"278","XBB",2023-09-30,91,0.161851383745671,0.532251576252749,0.30408812480212
"279","XBB",2023-10-14,93,0.119518963620067,0.539416352461558,0.221570894309484
"280","XBB",2023-10-28,95,0.107920456677675,0.572202986106277,0.188605196579017
"281","XBB",2023-11-11,97,0.076442926190793,0.585695240646601,0.130516556881017
"282","XBB",2023-11-25,99,0.054785123094916,0.596412727376446,0.0918577363965885
"283","XBB",2023-12-09,101,0.047614210750908,0.688117945333943,0.0691948394512526
"284","XBB",2023-12-23,103,0.023191790562123,0.729452172527089,0.0317934354513993
"285","XBB",2024-01-06,105,0.017188921570777,0.830800447845831,0.0206895911230499
"286","XBB",2024-01-20,107,0.005443510366604,0.893389678210953,0.00609309744601576
