"","week","age_group","total_vaccinated","perc_doses"
"152",2021-07-11,"18-49 years",136437,0.0101889622077825
"153",2021-07-11,"50-64 years",39344,0.00630100226037886
"154",2021-07-11,"65-74 years",10321,0.00329435707689887
"155",2021-07-11,"75+ years",5405,0.00258732397939523
"156",2021-07-18,"0-17 years",47207,0.0137589944832282
"157",2021-07-18,"18-49 years",128379,0.00958719980117495
"158",2021-07-18,"50-64 years",37627,0.006026022063117
"159",2021-07-18,"65-74 years",9990,0.00318870528032358
"160",2021-07-18,"75+ years",5088,0.00243557898374892
"161",2021-07-25,"0-17 years",39812,0.0116036411626725
"162",2021-07-25,"18-49 years",111953,0.0083605245354843
"163",2021-07-25,"50-64 years",33202,0.00531735149067454
"164",2021-07-25,"65-74 years",9139,0.00291707483051824
"165",2021-07-25,"75+ years",4680,0.00224027312184453
"166",2021-08-01,"0-17 years",46494,0.0135511828648974
"167",2021-08-01,"18-49 years",112263,0.0083836749879599
"168",2021-08-01,"50-64 years",33198,0.00531671088450736
"169",2021-08-01,"65-74 years",8906,0.00284270362628246
"170",2021-08-01,"75+ years",4615,0.00220915821737447
"171",2021-08-08,"0-17 years",54364,0.0158449801107085
"172",2021-08-08,"18-49 years",128104,0.00956666310946273
"173",2021-08-08,"50-64 years",39289,0.00629219392558014
"174",2021-08-08,"65-74 years",10373,0.00331095494222187
"175",2021-08-08,"75+ years",5326,0.00254950740319315
"176",2021-08-15,"0-17 years",60687,0.0176878873515298
"177",2021-08-15,"18-49 years",154086,0.0115069697424333
"178",2021-08-15,"50-64 years",45917,0.00735367834459679
"179",2021-08-15,"65-74 years",12795,0.00408403243861264
"180",2021-08-15,"75+ years",6785,0.00324791733583657
"181",2021-08-22,"0-17 years",69712,0.0203183219313831
"182",2021-08-22,"18-49 years",172806,0.0129049583564433
"183",2021-08-22,"50-64 years",48694,0.00779841917616125
"184",2021-08-22,"65-74 years",13668,0.00436268506220848
"185",2021-08-22,"75+ years",7315,0.00350162347997708
"186",2021-08-29,"0-17 years",64838,0.0188977415278147
"187",2021-08-29,"18-49 years",171387,0.0127989890272083
"188",2021-08-29,"50-64 years",46341,0.00742158259831783
"189",2021-08-29,"65-74 years",12962,0.0041373371214769
"190",2021-08-29,"75+ years",7083,0.00339056720556086
"191",2021-09-05,"0-17 years",50062,0.0145911153392372
"192",2021-09-05,"18-49 years",160005,0.0119489940269592
"193",2021-09-05,"50-64 years",40830,0.0065389874514861
"194",2021-09-05,"65-74 years",10733,0.00342586324061191
"195",2021-09-05,"75+ years",5859,0.00280464961984767
"196",2021-09-12,"0-17 years",44879,0.0130804735190289
"197",2021-09-12,"18-49 years",178739,0.0133480281452746
"198",2021-09-12,"50-64 years",43610,0.00698420873767594
"199",2021-09-12,"65-74 years",11429,0.00364801928416599
"200",2021-09-12,"75+ years",6150,0.00294394865370595
"201",2021-09-19,"0-17 years",37289,0.0108682853238947
"202",2021-09-19,"18-49 years",151122,0.011285621545215
"203",2021-09-19,"50-64 years",36169,0.00579252111518003
"204",2021-09-19,"65-74 years",10964,0.00349959606541219
"205",2021-09-19,"75+ years",5968,0.00285682692118978
"206",2021-09-26,"0-17 years",28339,0.00825971031118697
"207",2021-09-26,"18-49 years",128675,0.0096093047493452
"208",2021-09-26,"50-64 years",31841,0.00509938524229167
"209",2021-09-26,"65-74 years",15993,0.00510480115597748
"210",2021-09-26,"75+ years",9358,0.00447958886201306
"211",2021-10-03,"0-17 years",26784,0.00780648861903496
"212",2021-10-03,"18-49 years",113981,0.00851197330200206
"213",2021-10-03,"50-64 years",28608,0.00458161530766873
"214",2021-10-03,"65-74 years",13550,0.00432502067551397
"215",2021-10-03,"75+ years",8087,0.00387117280691383
"216",2021-10-10,"0-17 years",23030,0.0067123444181741
"217",2021-10-10,"18-49 years",104595,0.00781103734414425
"218",2021-10-10,"50-64 years",26695,0.00427524540821507
"219",2021-10-10,"65-74 years",11313,0.00361099327690698
"220",2021-10-10,"75+ years",6969,0.00333599645002875
"221",2021-10-17,"0-17 years",22127,0.00644915522974114
"222",2021-10-17,"18-49 years",95676,0.00714497642275773
"223",2021-10-17,"50-64 years",25453,0.00407633719330579
"224",2021-10-17,"65-74 years",12138,0.00387432479405081
"225",2021-10-17,"75+ years",7787,0.00372756555551354
"226",2021-10-24,"0-17 years",21623,0.00630225893852274
"227",2021-10-24,"18-49 years",91942,0.00686612548874526
"228",2021-10-24,"50-64 years",28796,0.00461172379752617
"229",2021-10-24,"65-74 years",20995,0.00670138812416352
"230",2021-10-24,"75+ years",14760,0.00706547676889429
"231",2021-10-31,"0-17 years",19869,0.00579103652821108
"232",2021-10-31,"18-49 years",96151,0.00718044889026066
"233",2021-10-31,"50-64 years",30871,0.00494403824675061
"234",2021-10-31,"65-74 years",20009,0.00638666706246192
"235",2021-10-31,"75+ years",13680,0.00654849066385324
"236",2021-11-07,"0-17 years",16965,0.00494463408833364
"237",2021-11-07,"18-49 years",86592,0.00646659348634388
"238",2021-11-07,"50-64 years",29151,0.00466857759486336
"239",2021-11-07,"65-74 years",17215,0.00549485099106811
"240",2021-11-07,"75+ years",11450,0.00548101009511108
"241",2021-11-14,"0-17 years",15240,0.00444186404398495
"242",2021-11-14,"18-49 years",81844,0.00611201816907253
"243",2021-11-14,"50-64 years",31155,0.00498952128462036
"244",2021-11-14,"65-74 years",16260,0.00519002481061676
"245",2021-11-14,"75+ years",10624,0.00508561146292228
"246",2021-11-21,"0-17 years",39335,0.0114646143156265
"247",2021-11-21,"18-49 years",62057,0.00463434719121908
"248",2021-11-21,"50-64 years",22520,0.00360661272122133
"249",2021-11-21,"65-74 years",9651,0.0030804999660063
"250",2021-11-21,"75+ years",6194,0.002965011050578
"251",2021-11-28,"0-17 years",243229,0.0708917420967464
"252",2021-11-28,"18-49 years",86317,0.00644605679463166
"253",2021-11-28,"50-64 years",32193,0.00515575858500347
"254",2021-11-28,"65-74 years",13806,0.004406733243258
"255",2021-11-28,"75+ years",8817,0.00422061711865453
"256",2021-12-05,"0-17 years",201115,0.0586171579531517
"257",2021-12-05,"18-49 years",81855,0.00611283963674102
"258",2021-12-05,"50-64 years",30094,0.00481960049877596
"259",2021-12-05,"65-74 years",11834,0.00377729111985478
"260",2021-12-05,"75+ years",7140,0.00341785258332691
"261",2021-12-12,"0-17 years",121345,0.0353673223370967
"262",2021-12-12,"18-49 years",69287,0.00517427548605308
"263",2021-12-12,"50-64 years",25369,0.00406288446379502
"264",2021-12-12,"65-74 years",9576,0.00305656073717504
"265",2021-12-12,"75+ years",5781,0.0027673117344836
"266",2021-12-19,"0-17 years",71008,0.020696055251659
"267",2021-12-19,"18-49 years",54798,0.00409225320889542
"268",2021-12-19,"50-64 years",18741,0.00300140004477837
"269",2021-12-19,"65-74 years",7005,0.00223592397283951
"270",2021-12-19,"75+ years",4388,0.00210049539714825
"271",2021-12-26,"0-17 years",79126,0.0230621347994982
"272",2021-12-26,"18-49 years",58010,0.00433212176809415
"273",2021-12-26,"50-64 years",18850,0.00301885656283402
"274",2021-12-26,"65-74 years",6471,0.00206547666356095
"275",2021-12-26,"75+ years",3777,0.00180801529512966
"276",2022-01-02,"0-17 years",101916,0.0297045286028064
"277",2022-01-02,"18-49 years",70650,0.00527606279806674
"278",2022-01-02,"50-64 years",22031,0.00352829861728362
"279",2022-01-02,"65-74 years",7568,0.00241562778393282
"280",2022-01-02,"75+ years",4350,0.00208230514530421
"281",2022-01-09,"0-17 years",75294,0.0219452566488059
"282",2022-01-09,"18-49 years",59129,0.00441568743364315
"283",2022-01-09,"50-64 years",17904,0.00286735320429603
"284",2022-01-09,"65-74 years",6111,0.00195056836517091
"285",2022-01-09,"75+ years",3623,0.00173429690607751
"286",2022-01-16,"0-17 years",69418,0.0202326324281724
"287",2022-01-16,"18-49 years",50452,0.00376769880096339
"288",2022-01-16,"50-64 years",14828,0.0023747270617349
"289",2022-01-16,"65-74 years",4979,0.00158924560467779
"290",2022-01-16,"75+ years",2960,0.00141692488048286
"291",2022-01-23,"0-17 years",89016,0.025944683053764
"292",2022-01-23,"18-49 years",54149,0.00404378661645458
"293",2022-01-23,"50-64 years",14147,0.00226566386177256
"294",2022-01-23,"65-74 years",4706,0.00150210681173201
"295",2022-01-23,"75+ years",2669,0.00127762584662458
"296",2022-01-30,"0-17 years",80827,0.0235579097823603
"297",2022-01-30,"18-49 years",51109,0.00381676282443586
"298",2022-01-30,"50-64 years",12493,0.00200077321164379
"299",2022-01-30,"65-74 years",3879,0.00123813691515267
"300",2022-01-30,"75+ years",2274,0.0010885429656142
"301",2022-02-06,"0-17 years",65590,0.0191169201210612
"302",2022-02-06,"18-49 years",45013,0.00336152037833515
"303",2022-02-06,"50-64 years",10803,0.00173011710601039
"304",2022-02-06,"65-74 years",3456,0.00110311966454437
"305",2022-02-06,"75+ years",2047,0.000979880145387981
"306",2022-02-13,"0-17 years",51860,0.0151151620289409
"307",2022-02-13,"18-49 years",38336,0.00286288950356244
"308",2022-02-13,"50-64 years",8739,0.0013995643237457
"309",2022-02-13,"65-74 years",2780,0.000887347415345301
"310",2022-02-13,"75+ years",1649,0.000789361191863596
"311",2022-02-20,"0-17 years",41715,0.0121582912463801
"312",2022-02-20,"18-49 years",33680,0.00251518464315482
"313",2022-02-20,"50-64 years",7618,0.00122003444539361
"314",2022-02-20,"65-74 years",2377,0.000758713959092007
"315",2022-02-20,"75+ years",1363,0.000652455612195319
"316",2022-02-27,"0-17 years",33068,0.00963802888494057
"317",2022-02-27,"18-49 years",28763,0.00214798859534032
"318",2022-02-27,"50-64 years",6469,0.00103602032387126
"319",2022-02-27,"65-74 years",2091,0.000667425699815476
"320",2022-02-27,"75+ years",1199,0.000573950314763161
"321",2022-03-06,"0-17 years",25784,0.00751502772376036
"322",2022-03-06,"18-49 years",21912,0.0016363635956297
"323",2022-03-06,"50-64 years",4778,0.00076520406669607
"324",2022-03-06,"65-74 years",1555,0.000496340011101418
"325",2022-03-06,"75+ years",953,0.000456192368614922
"326",2022-03-13,"0-17 years",20535,0.00598514948446397
"327",2022-03-13,"18-49 years",18893,0.001410908060069
"328",2022-03-13,"50-64 years",4364,0.000698901328392979
"329",2022-03-13,"65-74 years",1446,0.000461548331866657
"330",2022-03-13,"75+ years",919,0.00043991688012289
"331",2022-03-20,"0-17 years",18256,0.00532091010413315
"332",2022-03-20,"18-49 years",16897,0.00126184901767776
"333",2022-03-20,"50-64 years",3827,0.000612899950449113
"334",2022-03-20,"65-74 years",1419,0.000452930209487404
"335",2022-03-20,"75+ years",910,0.000435608662580881
"336",2022-03-27,"0-17 years",9313,0.00271437531769238
"337",2022-03-27,"18-49 years",10582,0.000790251897086232
"338",2022-03-27,"50-64 years",3649,0.000584392976009619
"339",2022-03-27,"65-74 years",2415,0.000770843168366511
"340",2022-03-27,"75+ years",1663,0.00079606286359561
