"","age_group","boosted_rate","week","week_num"
"302","18-49 years",0.000382000978578276,2023-02-19,60
"303","50-64 years",0.00120266741837915,2023-02-19,60
"304","65-74 years",0.00119817597350263,2023-02-19,60
"305","75+ years",0.00110928654272361,2023-02-19,60
"306","0-17 years",0.00102777562991151,2023-02-26,61
"307","18-49 years",0.000394263909788124,2023-02-26,61
"308","50-64 years",0.00123625056025377,2023-02-26,61
"309","65-74 years",0.00128671811084127,2023-02-26,61
"310","75+ years",0.00119137561629806,2023-02-26,61
"311","0-17 years",0.00103192083767081,2023-03-05,62
"312","18-49 years",0.000379982575913485,2023-03-05,62
"313","50-64 years",0.00106511486125915,2023-03-05,62
"314","65-74 years",0.00112855492500081,2023-03-05,62
"315","75+ years",0.00100342818829548,2023-03-05,62
"316","0-17 years",0.00107735669834479,2023-03-12,63
"317","18-49 years",0.000360857758238788,2023-03-12,63
"318","50-64 years",0.000965219159149563,2023-03-12,63
"319","65-74 years",0.000968282014284307,2023-03-12,63
"320","75+ years",0.00083344468889094,2023-03-12,63
"321","0-17 years",0.00105019469770783,2023-03-19,64
"322","18-49 years",0.000332097976224946,2023-03-19,64
"323","50-64 years",0.00090156498688993,2023-03-19,64
"324","65-74 years",0.00088014531447632,2023-03-19,64
"325","75+ years",0.000803536294356925,2023-03-19,64
"326","0-17 years",0.000962868120448307,2023-03-26,65
"327","18-49 years",0.000307336439750895,2023-03-26,65
"328","50-64 years",0.000818353369211793,2023-03-26,65
"329","65-74 years",0.000852462616952871,2023-03-26,65
"330","75+ years",0.000760314171365448,2023-03-26,65
"331","0-17 years",0.000933631957627075,2023-04-02,66
"332","18-49 years",0.000256131148424957,2023-04-02,66
"333","50-64 years",0.000715575681801442,2023-04-02,66
"334","65-74 years",0.000751176761799364,2023-04-02,66
"335","75+ years",0.000707015197613043,2023-04-02,66
"336","0-17 years",0.000829984488517859,2023-04-09,67
"337","18-49 years",0.000248419604191045,2023-04-09,67
"338","50-64 years",0.000635041486683862,2023-04-09,67
"339","65-74 years",0.000674140279452309,2023-04-09,67
"340","75+ years",0.000652801745211754,2023-04-09,67
"341","0-17 years",0.000791434625768729,2023-04-16,68
"342","18-49 years",0.000214630915619689,2023-04-16,68
"343","50-64 years",0.00058621474010784,2023-04-16,68
"344","65-74 years",0.000800418057431376,2023-04-16,68
"345","75+ years",0.00076015851324746,2023-04-16,68
"346","0-17 years",0.000735938004520504,2023-04-23,69
"347","18-49 years",0.000200195587393634,2023-04-23,69
"348","50-64 years",0.000559145264354994,2023-04-23,69
"349","65-74 years",0.00110140398345196,2023-04-23,69
"350","75+ years",0.00107074783911337,2023-04-23,69
"351","0-17 years",0.000691318261545041,2023-04-30,70
