"","variant_group","week","weeks_since","share","total_shares_by_week","rescaled_share"
"235","BQ",2022-12-31,52,0.661562532186508,0.887278578680707,0.74560859247857
"236","BQ",2023-01-07,53,0.665251076221466,0.892670793225988,0.745236744911684
"237","BQ",2023-01-14,54,0.618489444255829,0.895972060461646,0.690299922898439
"238","BQ",2023-01-21,55,0.571727812290192,0.899273327697303,0.635766451290365
"239","BQ",2023-01-28,56,0.494590558111668,0.90132517033635,0.548737097763618
"240","BQ",2023-02-04,57,0.417453303933144,0.903213714831509,0.462186631002407
"241","BQ",2023-02-11,58,0.346850387752056,0.905617439508206,0.38299879465706
"242","BQ",2023-02-18,59,0.276247471570968,0.908269847102929,0.304146914545389
"243","BQ",2023-02-25,60,0.239114847034216,0.89693905828426,0.266589847800378
"244","BQ",2023-03-04,61,0.201982222497463,0.885571082239038,0.228081321249538
"245","BQ",2023-03-11,62,0.16748796403408,0.885844896081833,0.18907143313112
"246","BQ",2023-03-18,63,0.132993705570697,0.886304474901406,0.150054196201019
"247","BQ",2023-03-25,64,0.10525806248188,0.887973843346117,0.118537345745726
"248","BQ",2023-04-01,65,0.077522419393063,0.889643211790827,0.0871387746971199
"249","BQ",2023-04-08,66,0.0571031980216505,0.884704033349408,0.0645449730860422
"250","BQ",2023-04-15,67,0.036683976650238,0.881328284507617,0.0416235099849685
"251","BQ",2023-04-22,68,0.0281846926081925,0.880433524376712,0.032012289205077
"252","BQ",2023-04-29,69,0.019685408566147,0.879538764245807,0.0223815133185482
"253","BQ",2023-05-06,70,0.014312384999357,0.866014376530074,0.0165267291020081
"254","BQ",2023-05-13,71,0.008939361432567,0.85248998881434,0.0104861776089594
"255","BQ",2023-05-20,72,0.0052951563266105,0.832655512567726,0.00635936019961173
"256","BQ",2023-05-27,73,0.001650951220654,0.812821036321111,0.00203113741756282
"257","BQ",2023-06-03,74,0.0035362395865375,0.790960533136967,0.00447081673280549
"258","BQ",2023-06-10,75,0.005421527952421,0.769100029952823,0.00704918442501369
"259","BQ",2023-06-17,76,0.004858463507844,0.751260350632946,0.00646708361988049
"260","BQ",2023-06-24,77,0.004295399063267,0.734995086677372,0.00584411942491321
"261","BQ",2023-07-01,78,0.002537895052228,0.717869869200511,0.0035353135172736
"262","BQ",2023-07-08,79,0.000780391041189,0.699170236359349,0.00111616742333395
"263","BQ",2023-07-15,80,0.0006529624515675,0.689304285624528,0.00094727751616385
"264","BQ",2023-07-22,81,0.000525533861946,0.67925256991293,0.000773694329950589
"265","BQ",2023-07-29,82,0.0004728809872175,0.667185592697932,0.000708769782191021
"266","BQ",2023-08-05,83,0.000420228112489,0.655644149344879,0.000640939315799421
