"","age_group","primary_series_rate","week","week_num"
"395","75+ years",0,2023-06-25,78
"396","0-17 years",0,2023-07-02,79
"397","18-49 years",0,2023-07-02,79
"398","50-64 years",0,2023-07-02,79
"399","65-74 years",0,2023-07-02,79
"400","75+ years",0,2023-07-02,79
"401","0-17 years",0,2023-07-09,80
"402","18-49 years",0,2023-07-09,80
"403","50-64 years",0,2023-07-09,80
"404","65-74 years",0,2023-07-09,80
"405","75+ years",0,2023-07-09,80
"406","0-17 years",0,2023-07-16,81
"407","18-49 years",0,2023-07-16,81
"408","50-64 years",0,2023-07-16,81
"409","65-74 years",0,2023-07-16,81
"410","75+ years",0,2023-07-16,81
"411","0-17 years",0,2023-07-23,82
"412","18-49 years",0,2023-07-23,82
"413","50-64 years",0,2023-07-23,82
"414","65-74 years",0,2023-07-23,82
"415","75+ years",0,2023-07-23,82
"416","0-17 years",0,2023-07-30,83
"417","18-49 years",0,2023-07-30,83
"418","50-64 years",0,2023-07-30,83
"419","65-74 years",0,2023-07-30,83
"420","75+ years",0,2023-07-30,83
"421","0-17 years",0,2023-08-06,84
"422","18-49 years",0,2023-08-06,84
"423","50-64 years",0,2023-08-06,84
"424","65-74 years",0,2023-08-06,84
"425","75+ years",0,2023-08-06,84
"426","0-17 years",0,2023-08-13,85
"427","18-49 years",0,2023-08-13,85
"428","50-64 years",0,2023-08-13,85
"429","65-74 years",0,2023-08-13,85
"430","75+ years",0,2023-08-13,85
"431","0-17 years",0,2023-08-20,86
"432","18-49 years",0,2023-08-20,86
"433","50-64 years",0,2023-08-20,86
"434","65-74 years",0,2023-08-20,86
"435","75+ years",0,2023-08-20,86
"436","0-17 years",0,2023-08-27,87
"437","18-49 years",0,2023-08-27,87
"438","50-64 years",0,2023-08-27,87
"439","65-74 years",0,2023-08-27,87
"440","75+ years",0,2023-08-27,87
"441","0-17 years",0,2023-09-03,88
"442","18-49 years",0,2023-09-03,88
"443","50-64 years",0,2023-09-03,88
"444","65-74 years",0,2023-09-03,88
"445","75+ years",0,2023-09-03,88
"446","0-17 years",0,2023-09-10,89
"447","18-49 years",0,2023-09-10,89
"448","50-64 years",0,2023-09-10,89
"449","65-74 years",0,2023-09-10,89
"450","75+ years",0,2023-09-10,89
"451","0-17 years",0,2023-09-17,90
"452","18-49 years",0,2023-09-17,90
"453","50-64 years",0,2023-09-17,90
"454","65-74 years",0,2023-09-17,90
"455","75+ years",0,2023-09-17,90
"456","0-17 years",0,2023-09-24,91
"457","18-49 years",0,2023-09-24,91
"458","50-64 years",0,2023-09-24,91
"459","65-74 years",0,2023-09-24,91
"460","75+ years",0,2023-09-24,91
"461","0-17 years",0,2023-10-01,92
"462","18-49 years",0,2023-10-01,92
"463","50-64 years",0,2023-10-01,92
"464","65-74 years",0,2023-10-01,92
"465","75+ years",0,2023-10-01,92
"466","0-17 years",0,2023-10-08,93
"467","18-49 years",0,2023-10-08,93
"468","50-64 years",0,2023-10-08,93
"469","65-74 years",0,2023-10-08,93
"470","75+ years",0,2023-10-08,93
"471","0-17 years",0,2023-10-15,94
"472","18-49 years",0,2023-10-15,94
"473","50-64 years",0,2023-10-15,94
"474","65-74 years",0,2023-10-15,94
"475","75+ years",0,2023-10-15,94
"476","0-17 years",0,2023-10-22,95
"477","18-49 years",0,2023-10-22,95
"478","50-64 years",0,2023-10-22,95
"479","65-74 years",0,2023-10-22,95
"480","75+ years",0,2023-10-22,95
"481","0-17 years",0,2023-10-29,96
"482","18-49 years",0,2023-10-29,96
"483","50-64 years",0,2023-10-29,96
"484","65-74 years",0,2023-10-29,96
"485","75+ years",0,2023-10-29,96
"486","0-17 years",0,2023-11-05,97
"487","18-49 years",0,2023-11-05,97
"488","50-64 years",0,2023-11-05,97
"489","65-74 years",0,2023-11-05,97
"490","75+ years",0,2023-11-05,97
"491","0-17 years",0,2023-11-12,98
"492","18-49 years",0,2023-11-12,98
"493","50-64 years",0,2023-11-12,98
"494","65-74 years",0,2023-11-12,98
"495","75+ years",0,2023-11-12,98
"496","0-17 years",0,2023-11-19,99
"497","18-49 years",0,2023-11-19,99
"498","50-64 years",0,2023-11-19,99
"499","65-74 years",0,2023-11-19,99
"500","75+ years",0,2023-11-19,99
"501","0-17 years",0,2023-11-26,100
"502","18-49 years",0,2023-11-26,100
"503","50-64 years",0,2023-11-26,100
"504","65-74 years",0,2023-11-26,100
"505","75+ years",0,2023-11-26,100
"506","0-17 years",0,2023-12-03,101
"507","18-49 years",0,2023-12-03,101
"508","50-64 years",0,2023-12-03,101
"509","65-74 years",0,2023-12-03,101
"510","75+ years",0,2023-12-03,101
"511","0-17 years",0,2023-12-10,102
"512","18-49 years",0,2023-12-10,102
"513","50-64 years",0,2023-12-10,102
"514","65-74 years",0,2023-12-10,102
"515","75+ years",0,2023-12-10,102
"516","0-17 years",0,2023-12-17,103
"517","18-49 years",0,2023-12-17,103
"518","50-64 years",0,2023-12-17,103
"519","65-74 years",0,2023-12-17,103
"520","75+ years",0,2023-12-17,103
"521","0-17 years",0,2023-12-24,104
"522","18-49 years",0,2023-12-24,104
"523","50-64 years",0,2023-12-24,104
"524","65-74 years",0,2023-12-24,104
"525","75+ years",0,2023-12-24,104
